Name: str,      Result,     Quantity,   Recipe
Oak Planks;     4;          4;          3
Birch Planks;   9;          4;          8
Spruce Planks;  11;         4;          10
Sticks;         6;          4;          4,0,4,0
Sticks;         6;          4;          0,4,0,4
Sticks;         6;          4;          9,0,9,0
Sticks;         6;          4;          0,9,0,9
Sticks;         6;          4;          11,0,11,0
Sticks;         6;          4;          0,11,0,11
Crafting Table; 7;          1;          4,4,4,4
Crafting Table; 7;          1;          9,9,9,9
Crafting Table; 7;          1;          11,11,11,11
Coal;           34;         9;          12
Iron Ingot;     35;         9;          15
Gold Ingot;     37;         9;          17
Diamond;        39;         9;          19
Iron Nugget;    36;         9;          35
Gold Nugget;    38;         9;          37
Iron Ingot;     35;         1;          36,36,36,36,36,36,36,36,36
Gold Ingot;     37;         1;          38,38,38,38,38,38,38,38,38
Coal Block;     12;         1;          34,34,34,34,34,34,34,34,34
Iron Block;     15;         1;          35,35,35,35,35,35,35,35,35
Gold Block;     17;         1;          37,37,37,37,37,37,37,37,37
Diamond Block;  19;         1;          39,39,39,39,39,39,39,39,39
Wood Axe;       40;         1;          0,4,4,0,6,4,0,6,0
Wood Axe;       40;         1;          0,9,9,0,6,9,0,6,0
Wood Axe;       40;         1;          0,11,11,0,6,11,0,6,0
Stone Axe;      41;         1;          0,5,5,0,6,5,0,6,0
Iron Axe;       42;         1;          0,35,35,0,6,35,0,6,0
Gold Axe;       43;         1;          0,37,37,0,6,37,0,6,0
Diamond Axe;    44;         1;          0,39,39,0,6,39,0,6,0
Wood Axe;       40;         1;          4,4,0,4,6,0,0,6,0
Wood Axe;       40;         1;          9,9,0,9,6,0,0,6,0
Wood Axe;       40;         1;          11,11,0,11,6,0,0,6,0
Stone Axe;      41;         1;          5,5,0,5,6,0,0,6,0
Iron Axe;       42;         1;          35,35,0,35,6,0,0,6,0
Gold Axe;       43;         1;          37,37,0,37,6,0,0,6,0
Diamond Axe;    44;         1;          39,39,0,39,6,0,0,6,0
Wood Pick;      45;         1;          4,4,4,0,6,0,0,6,0
Wood Pick;      45;         1;          9,9,9,0,6,0,0,6,0
Wood Pick;      45;         1;          11,11,11,0,6,0,0,6,0
Stone Pick;     46;         1;          5,5,5,0,6,0,0,6,0
Iron Pick;      47;         1;          35,35,35,0,6,0,0,6,0
Gold Pick;      48;         1;          37,37,37,0,6,0,0,6,0
Diamond Pick;   49;         1;          39,39,39,0,6,0,0,6,0
Wood Shovel;    50;         1;          0,4,0,0,6,0,0,6,0
Wood Shovel;    50;         1;          0,9,0,0,6,0,0,6,0
Wood Shovel;    50;         1;          0,11,0,0,6,0,0,6,0
Stone Shovel;   51;         1;          0,5,0,0,6,0,0,6,0
Iron Shovel;    52;         1;          0,35,0,0,6,0,0,6,0
Gold Shovel;    53;         1;          0,37,0,0,6,0,0,6,0
Diamond Shovel; 54;         1;          0,39,0,0,6,0,0,6,0
Wood Sword;     55;         1;          0,4,0,0,4,0,0,6,0
Wood Sword;     55;         1;          0,9,0,0,9,0,0,6,0
Wood Sword;     55;         1;          0,11,0,0,11,0,0,6,0
Stone Sword;    56;         1;          0,5,0,0,5,0,0,6,0
Iron Sword;     57;         1;          0,35,0,0,35,0,0,6,0
Gold Sword;     58;         1;          0,37,0,0,37,0,0,6,0
Diamond Sword;  59;         1;          0,39,0,0,39,0,0,6,0
Wood Hoe;       60;         1;          4,4,0,0,6,0,0,6,0
Wood Hoe;       60;         1;          9,9,0,0,6,0,0,6,0
Wood Hoe;       60;         1;          11,11,0,0,6,0,0,6,0
Stone Hoe;      61;         1;          5,5,0,0,6,0,0,6,0
Iron Hoe;       62;         1;          35,35,0,0,6,0,0,6,0
Gold Hoe;       63;         1;          37,37,0,0,6,0,0,6,0
Diamond Hoe;    64;         1;          39,39,0,0,6,0,0,6,0
Wood Hoe;       60;         1;          0,4,4,0,6,0,0,6,0
Wood Hoe;       60;         1;          0,9,9,0,6,0,0,6,0
Wood Hoe;       60;         1;          0,11,11,0,6,0,0,6,0
Stone Hoe;      61;         1;          0,5,5,0,6,0,0,6,0
Iron Hoe;       62;         1;          0,35,35,0,6,0,0,6,0
Gold Hoe;       63;         1;          0,37,37,0,6,0,0,6,0
Diamond Hoe;    64;         1;          0,39,39,0,6,0,0,6,0
Iron Boots;     65;         1;          0,0,0,35,0,35,35,0,35
Iron Boots;     65;         1;          35,0,35,35,0,35,0,0,0
Gold Boots;     69;         1;          0,0,0,37,0,37,37,0,37
Gold Boots;     69;         1;          37,0,37,37,0,37,0,0,0
Diamond Boots;  73;         1;          0,0,0,39,0,39,39,0,39
Diamond Boots;  73;         1;          39,0,39,39,0,39,0,0,0
Iron Legs;      66;         1;          35,35,35,35,0,35,35,0,35
Gold Legs;      70;         1;          37,37,37,37,0,37,37,0,37
Diamond Legs;   74;         1;          39,39,39,39,0,39,39,0,39
Iron Chest;     67;         1;          35,0,35,35,35,35,35,35,35
Gold Chest;     71;         1;          37,0,37,37,37,37,37,37,37
Diamond Chest;  75;         1;          39,0,39,39,39,39,39,39,39
Iron Helmet;    68;         1;          0,0,0,35,35,35,35,0,35
Iron Helmet;    68;         1;          35,35,35,35,0,35,0,0,0
Gold Helmet;    72;         1;          0,0,0,37,37,37,37,0,37
Gold Helmet;    72;         1;          37,37,37,37,0,37,0,0,0
Diamond Helmet; 76;         1;          0,0,0,39,39,39,39,0,39
Diamond Helmet; 76;         1;          39,39,39,39,0,39,0,0,0
Pol Adesite;    24;         4;          23,23,23,23
Pol Diorite;    26;         4;          25,25,25,25
Pol Granite;    28;         4;          27,27,27,27
Furnace;        77;         1;          5,5,5,5,0,5,5,5,5
Chest;          78;         1;          4,4,4,4,0,4,4,4,4
Chest;          78;         1;          9,9,9,9,0,9,9,9,9
Chest;          78;         1;          11,11,11,11,0,11,11,11,11
